Company Name,Report Year,Annual Carbon Emissions,Annual Water Consumption,Renewable Energy Usage,Sustainable Materials Usage Ratio,Waste Recycling Rate
Chevron,2015,57000000.0 tonnes CO₂,78000000.0 cubic meters,N/A,N/A,N/A
Chevron,2016,66000000.0 tonnes CO₂,77000000.0 cubic meters,N/A,N/A,N/A
Chevron,2017,N/A,N/A,N/A,N/A,N/A
Chevron,2018,66000000.0 tonnes CO₂,70000000.0 cubic meters,N/A,N/A,75.0 percent
Chevron,N/A,4000000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Chevron,2020,24.0 kg,0.03 cubic meters,N/A,N/A,29.0 percent
Chevron,2021,N/A,N/A,N/A,N/A,N/A
Chevron,2022,2.5 kg,N/A,70.0 MWh,N/A,N/A
Chipotle,2016,2017.0 tonnes CO₂,181.7 cubic meters,N/A,100.0 percent,N/A
Cimarex Energy_None,2019,N/A,N/A,N/A,N/A,N/A
Chevron,2013,N/A,50.0 cubic meters,N/A,N/A,N/A
Kroger,2017,N/A,5.0 cubic meters,N/A,N/A,2350000000.0 percent
Cisco,2018,246312.0 tonnes CO₂,3394000.0 cubic meters,40.0 MWh,N/A,N/A
Citi,2018,657652.0 tonnes CO₂,4479839.0 cubic meters,N/A,N/A,N/A
Citi,2019,616900.0 tonnes CO,4336083.0 cubic meters,1310.6 GWh,N/A,10611.0 percent
Citi,2020,526459.0 tonnes CO,3782392.0 cubic meters,N/A,N/A,22.8 percent
"Citigroup, Inc.",2021,507994.0 tonnes CO,3619630.0 cubic meters,N/A,N/A,22.76 percent
Citi,2022,N/A,946.35 cubic meters,N/A,N/A,N/A
PAX WORLD,2017,437.0 tonnes CO₂,0.3 cubic meters,N/A,N/A,N/A
The Coca-Cola Company,2016,N/A,N/A,N/A,30.0 percent,59.3 percent
COCA-COLA,2017,19.0 tonnes CO₂,N/A,N/A,N/A,N/A
The Coca-Cola Company,2020,N/A,1.84 cubic meters,N/A,11.5 percent,60.0 percent
The Coca-Cola Company,2021,5490000.0 tonnes CO₂,1.81 cubic meters,12.0 MWh,23.0 percent,61.0 percent
Coca-Cola,2023,5620000.0 tonnes CO₂,N/A,24.0 MWh,N/A,N/A
Colgate,2013,N/A,1.6 cubic meters,N/A,50.0 percent,N/A
Colgate,2022,N/A,N/A,N/A,N/A,N/A
NRG,2015,90.0 tonnes CO₂,11000000000.0 cubic meters,N/A,N/A,N/A
Ralph Lauren Corporation,2017,90000.0 tonnes CO₂,0.01 cubic meters,N/A,N/A,N/A
Amazon,2023,80.8 tonnes CO₂,N/A,100.0 MWh,N/A,82.0 percent
ConocoPhillips,2022,16014000.0 tonnes CO₂,9200000.0 cubic meters,N/A,N/A,N/A
Edison Energy,2018,220000.0 tonnes CO₂,800000.0 tonnes CO₂,100.0 MWh,N/A,N/A
Con Edison,2021,39900000.0 tonnes CO₂,N/A,53.3 MWh,N/A,N/A
Franciscan Estate Winery,2015,194518.0 tonnes CO₂,681.37 cubic meters,75.0 MWh,49.0 percent,94.0 percent
"Poggio Casciano Winery, Kim Crawford Winery, Gonzales Winery, Jackson-Triggs Winery",2016,207354.0 tonnes CO₂,3.32 cubic meters,133.0 MWh,N/A,95.0 percent
Nava Brewery,2017,230842.0 tonnes CO₂,N/A,N/A,50.0 percent,83.0 percent
"Constellation Brands, Inc.",N/A,N/A,35.0 cubic meters,N/A,N/A,35.0 percent
Constellation Brands,2019,303842.0 tonnes CO₂,N/A,5500000.0 MWh,N/A,99.0 percent
Ruffino Group,2020,3202.0 tonnes CO₂,N/A,N/A,18600.0 percent,99.0 percent
Constellation Brands,2022,N/A,0.16 cubic meters,N/A,N/A,100.0 percent
Corning,2021,N/A,15693406.0 cubic meters,N/A,N/A,N/A
Corning,2022,N/A,N/A,190000.0 MWh,N/A,N/A
DCC plc,2021,450.0 tonnes CO₂,N/A,100.0 MWh,N/A,N/A
DCC plc,2022,84000.0 tonnes CO₂,N/A,80.0 MWh,N/A,N/A
DS Smith,2020,N/A,N/A,N/A,N/A,96.0 percent
DS Smith,2021,212.0 kg,N/A,27000.0 tonnes CO₂,N/A,100.0 percent
DS Smith,2022,8250702.0 tonnes CO₂,8080000.0 cubic meters,21.0 MWh,100.0 percent,63.0 percent
DS Smith,2023,7391418.0 tonnes CO₂,N/A,26.0 MWh,N/A,N/A
DTE Energy,2013,N/A,0.0 cubic meters,N/A,N/A,15000000.0 percent
DTE Energy,N/A,36600000.0 tonnes CO₂,4705264.63 cubic meters,N/A,N/A,55.0 percent
DTE Energy,N/A,N/A,N/A,N/A,N/A,N/A
DTE Energy,N/A,31900000.0 tonnes CO₂,72301331.0 cubic meters,N/A,N/A,48.0 percent
DTE,2019,N/A,N/A,1000000.0 MWh,N/A,N/A
DTE Energy,2019,N/A,N/A,N/A,N/A,100.0 percent
DTE Energy,2020,4700000.0 tonnes CO₂,21.0 cubic meters,N/A,N/A,N/A
DTE Energy,2021,N/A,N/A,N/A,N/A,N/A
DXC Technology,2018,N/A,2735249.0 cubic meters,N/A,N/A,N/A
DXC,2019,887809.0 tonnes CO,N/A,N/A,N/A,N/A
Henry Schein,2017,6300.0 tonnes CO₂,N/A,N/A,N/A,10600.0 tonnes CO₂
Johns Manville (JM),2014,1580652.0 tonnes CO₂,3785410.0 cubic meters,N/A,300000000.0 percent,11.5 percent
AAON,2023,N/A,N/A,N/A,N/A,90.0 percent
Danaher,N/A,60.0 tonnes CO₂,N/A,N/A,N/A,N/A
Danaher,N/A,N/A,N/A,N/A,N/A,N/A
Pall,2020,285.0 tonnes CO₂,N/A,130000.0 MWh,N/A,20.0 percent
Lavazza,2021,2300000.0 tonnes CO₂,N/A,134.0 MWh,N/A,N/A
Danaher,2022,372468.0 tonnes CO₂,6818699.0 cubic meters,N/A,N/A,69.9 percent
Danaher,2023,N/A,120000.0 cubic meters,N/A,N/A,N/A
Darden Restaurants,2012,568.0 tonnes CO₂,1.89 cubic meters,15.0 MWh,100.0 percent,140000.0 percent
"Apex Companies, LLC",2022,345316.0 tonnes CO₂,4669793.0 cubic meters,0.02 MWh,N/A,32.0 percent
Darden,2024,4282662.0 tonnes CO₂,4826875.0 cubic meters,0.03 MWh,N/A,17.0 percent
Medtronic,N/A,126.0 tonnes CO₂,N/A,N/A,N/A,321.0 tonnes CO₂
Dassault Systèmes,N/A,14164.0 tonnes CO,N/A,75.2 MWh,N/A,N/A
CENIT,N/A,1501.9 tonnes CO₂,N/A,N/A,N/A,N/A
Dechra,2016,8075.0 tonnes CO₂,N/A,N/A,N/A,N/A
Dechra,2021,55318974.0 tonnes CO₂,N/A,27.8 MWh,N/A,31.0 percent
Dechra Pharmaceuticals PLC,2023,N/A,178645.0 cubic meters,N/A,N/A,N/A
John Deere,2020,766000.0 tonnes CO₂,N/A,50.0 MWh,N/A,85.0 percent
John Deere,2021,977200.0 tonnes CO₂,N/A,40.5 MWh,N/A,83.0 percent
John Deere,2022,716700.0 tonnes CO₂,23900.0 cubic meters,58.9 MWh,N/A,84.0 percent
John Deere,N/A,N/A,30000.0 cubic meters,N/A,N/A,N/A
Delta Air Lines,2016,90000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Delta Air Lines,2017,40175582.0 tonnes CO₂,N/A,N/A,N/A,N/A
"Delta Air Lines, Inc.",2018,40.0 tonnes CO₂,0.06 cubic meters,N/A,N/A,N/A
"Delta Air Lines, Inc.",2019,N/A,N/A,N/A,N/A,N/A
"Delta Air Lines, Inc.",2020,38161782.15 tonnes CO₂,N/A,N/A,N/A,N/A
Delta,N/A,24561255.0 tonnes CO₂,N/A,1.0 MWh,N/A,N/A
SKY CLUBS,2022,N/A,N/A,N/A,N/A,90.0 percent
Dentsply Sirona,2021,37950.0 tonnes CO₂,258177.0 cubic meters,N/A,N/A,N/A
Dentsply Sirona,2023,22960.0 tonnes CO₂,235930.0 cubic meters,13.0 MWh,55.0 percent,N/A
Dentsply Sirona,2023,N/A,23821.0 cubic meters,N/A,N/A,N/A
Devon Energy,2021,4230000.0 tonnes CO₂,98500000.0 cubic meters,N/A,N/A,N/A
Devon Energy,2021,3910000.0 tonnes CO₂,N/A,N/A,N/A,90.0 percent
Guinness Nigeria,N/A,N/A,N/A,N/A,N/A,N/A
Diageo,2020,710986.0 tonnes CO₂,16514966.0 cubic meters,65.5 MWh,N/A,1814.0 tonnes CO₂
Diageo,2021,691999.0 tonnes CO₂,16790280.0 cubic meters,N/A,N/A,97.5 percent
UNITED SPIRITS LIMITED,N/A,14270.0 tonnes CO₂,N/A,N/A,N/A,N/A
Diageo,2022,N/A,623145.9 cubic meters,N/A,N/A,215.23 tonnes CO₂
Diamondback Energy,2021,1.0 tonnes CO₂,N/A,N/A,N/A,N/A
Digital Realty,2018,3799200.0 tonnes CO₂,1427600.0 cubic meters,1904300.0 MWh,N/A,24.0 percent
Digital Realty,2019,1777790.0 tonnes CO₂,1533375.0 cubic meters,1966423.0 MWh,27.0 percent,26.0 percent
Digital Realty,2020,32798.0 tonnes CO₂,1417689.0 cubic meters,4146675.0 MWh,N/A,27.0 percent
Digital Realty,2021,20327.0 tonnes CO₂,1470354.0 cubic meters,5295453.0 MWh,N/A,28.0 percent
Digital Realty,2022,1606253.0 tonnes CO₂,1573359.0 cubic meters,100.0 MWh,N/A,N/A
Deutsche Post DHL Group,2015,27950000.0 tonnes CO₂,N/A,62.0 MWh,N/A,N/A
Visa,2016,N/A,284703.37 cubic meters,N/A,N/A,76.0 percent
NRG,2018,46000000.0 tonnes CO₂,185000000.0 cubic meters,N/A,N/A,N/A
Baxter,2019,619000.0 tonnes CO₂,14471000.0 cubic meters,2811.0 MWh,N/A,75.0 percent
Baxter,2021,598000.0 tonnes CO₂,14708000.0 cubic meters,846000.0 MWh,N/A,N/A
Vitality UK,2024,N/A,88603.0 cubic meters,4.0 MWh,N/A,95.5 percent
IKEA,N/A,800000.0 tonnes CO₂,N/A,N/A,N/A,N/A
NVIDIA,2018,60437.0 tonnes CO,55681.0 cubic meters,52029.0 MWh,N/A,74.0 percent
Barrick Gold Corporation,2020,7541.0 kilotonnes,N/A,N/A,N/A,79.0 percent
ChevronTexaco,N/A,4100.0 tonnes CO₂,N/A,66200000.0 MWh,N/A,N/A
Procter & Gamble (P&G),2014,5353.0 tonnes CO₂,70610.0 cubic meters,N/A,N/A,87.0 percent
Givaudan SA,2015,185759.71 tonnes CO₂,8751942.97 cubic meters,40.0 MWh,N/A,N/A
Colgate-Palmolive,2016,531000.0 tonnes CO₂,1.04 cubic meters,N/A,41.0 percent,40.0 percent
GLOBALFOUNDRIES,2017,14600.0 tonnes CO₂,3700000.0 cubic meters,N/A,N/A,55.0 percent
Walmart,2014,11284.0 tonnes CO₂,30.0 cubic meters,24.2 MWh,N/A,81.66 percent
Visa,2017,120953.0 tonnes CO₂,247459.69 cubic meters,N/A,N/A,77.0 percent
Dollar General,2022,1916849.0 tonnes CO₂,N/A,N/A,N/A,N/A
DOLLAR TREE | FAMILY DOLLAR,2021,7.75 tonnes CO₂,N/A,N/A,N/A,N/A
[company name not provided in text],2022,6178591.0 tonnes CO₂,N/A,N/A,N/A,N/A
Dollar Tree,2024,N/A,N/A,79000.0 MWh,N/A,72.0 percent
"Dollar Tree, Inc.",2023,N/A,N/A,N/A,N/A,370679.0 tonnes CO₂
Dominion Energy,2017,N/A,79493.61 cubic meters,1350.0 MWh,N/A,N/A
Dominion Energy,2018,101143310.0 tonnes CO₂,6885000000000.0 cubic meters,N/A,N/A,N/A
Dominion Energy,2019,N/A,N/A,N/A,N/A,N/A
Dominion Energy,2020,5.3 tonnes CO₂,N/A,N/A,N/A,N/A
Dominion Energy,2021,N/A,42110000000.0 cubic meters,N/A,N/A,41.0 percent
Port of Dover,2023,N/A,N/A,N/A,N/A,90.0 percent
BMW Group,2015,1267485.0 tonnes CO₂,4819684.0 cubic meters,N/A,N/A,98.8 percent
Visa,2017,120953.0 tonnes CO₂,247459.69 cubic meters,N/A,N/A,77.0 percent
Dow,2019,42.1 tonnes CO₂,N/A,N/A,N/A,N/A
Dow,2020,34700000.0 tonnes CO₂,N/A,N/A,N/A,N/A
DOW,2021,28290000.0 tonnes CO₂,N/A,900.0 MWh,N/A,N/A
Dow,2022,27290000.0 tonnes CO₂,N/A,1000.0 MWh,N/A,N/A
Dow,2023,26480000.0 tonnes CO₂,3543.14 cubic meters,1000.0 MWh,N/A,N/A
CPP Investment Board,2019,43100000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Apple,2016,38400000.0 tonnes CO₂,2.17 cubic meters,93.0 MWh,N/A,63.0 percent
Apple,2018,45400.0 tonnes CO₂,3.79 cubic meters,1772000000.0 MWh,N/A,71.0 percent
Apple,2019,520500.0 tonnes CO₂,4769616.6 cubic meters,100.0 MWh,100.0 percent,74.0 percent
Duke Energy,2023,N/A,N/A,N/A,N/A,80.0 percent
Deutsche Post DHL,2018,4820000.0 tonnes CO₂,1096000000.0 cubic meters,N/A,N/A,N/A
RBC,2014,144244.0 tonnes CO₂,N/A,18300.0 MWh,N/A,72.0 percent
Chevron,2019,4000000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Morgan Stanley,2020,30.0 tonnes CO₂,N/A,N/A,N/A,N/A
ENI,2018,N/A,N/A,N/A,N/A,N/A
Eni,2020,37760000.0 tonnes CO₂,N/A,307.0 MWh,N/A,N/A
Eni,2021,456000000.0 tonnes CO₂,N/A,1188.0 MWh,N/A,N/A
Eni,N/A,419000000.0 tonnes CO₂,N/A,2256.0 MWh,N/A,N/A
EOG Resources,2017,N/A,0.01 cubic meters,N/A,N/A,N/A
EOG,2018,N/A,37.0 cubic meters,N/A,N/A,N/A
EOG,2019,N/A,25.0 cubic meters,N/A,N/A,N/A
EOG RESOURCES,2020,4500000.0 tonnes CO₂,20.0 cubic meters,N/A,N/A,N/A
EOG Resources,2021,5000000.0 tonnes CO₂,196.0 cubic meters,N/A,N/A,55.0 percent
Eastman,2013,6055992.0 tonnes CO₂,650000000.0 cubic meters,90.0 MWh,N/A,N/A
Eastman,N/A,N/A,N/A,N/A,N/A,N/A
Eastman Chemical Company,2022,6206603.0 tonnes CO₂,N/A,N/A,N/A,75.0 percent
Eastman,N/A,6769878.0 tonnes CO₂,99526.96 cubic meters,1.0 MWh,N/A,N/A
EATON,2018,1099044.0 tonnes CO₂,N/A,9000000.0 MWh,N/A,87.0 percent
EATON,2019,N/A,N/A,12.0 MWh,N/A,92.0 percent
Eaton,2020,1200000.0 tonnes CO₂,5000.0 cubic meters,N/A,N/A,90.0 percent
Eaton,2021,N/A,278.0 cubic meters,N/A,N/A,94.0 percent
Eaton,2022,215653.0 tonnes CO₂,2935.0 cubic meters,842791.0 MWh,N/A,95.0 percent
Ecolab,N/A,N/A,N/A,N/A,N/A,N/A
Ecolab,2005,N/A,N/A,N/A,N/A,N/A
Ecolab,2006,N/A,1135.62 cubic meters,N/A,N/A,N/A
Ecolab,2007,200000.0 tonnes CO₂,355000000.0 cubic meters,N/A,42.0 percent,N/A
Ecolab,2008,200000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Ecolab,2009,200000.0 tonnes CO₂,1634068.0 cubic meters,N/A,N/A,186000.0 percent
Ecolab,2010,25000.0 tonnes CO₂,N/A,N/A,N/A,18.0 percent
Ecolab,2011,63.0 tonnes CO,N/A,N/A,N/A,19.8 percent
ConAgra Foods,2012,N/A,731000000.0 cubic meters,17000000.0 MWh,N/A,N/A
Ecolab,2013,N/A,N/A,N/A,N/A,N/A
Ecolab,2014,N/A,800.0 cubic meters,N/A,N/A,80.0 percent
Ecolab,2015,3.6 tonnes CO₂,6.9 cubic meters,N/A,N/A,N/A
Dow Chemical,2016,47.3 tonnes CO₂,1.17 cubic meters,40.0 MWh,N/A,N/A
Ecolab Inc._2017,2017,21500.0 tonnes CO₂,37854100.0 cubic meters,N/A,N/A,N/A
The Buttered Tin,2018,2400000000.0 tonnes CO₂,711657080.0 cubic meters,99.4 MWh,N/A,N/A
Ecolab,N/A,202.0 tonnes CO₂,0.68 cubic meters,N/A,N/A,20500.0 percent
Ecolab,2020,340004.0 tonnes CO₂,6571352.0 cubic meters,100.0 MWh,N/A,N/A
Ecolab,2021,8733980.0 tonnes CO₂,0.1 cubic meters,N/A,N/A,N/A
Ecolab,2022,299519.0 tonnes CO₂,N/A,N/A,N/A,N/A
Edenred,2017,N/A,1010.0 tonnes CO₂,N/A,N/A,N/A
Edenred,2018,10096.0 tonnes CO,61606.0 cubic meters,2799.0 MWh,N/A,N/A
Edenred,2019,9926.0 tonnes CO,60056.0 cubic meters,N/A,N/A,N/A
Edenred,2021,7427.0 tonnes CO,N/A,560.0 MWh,N/A,N/A
N/A,2019,N/A,N/A,N/A,N/A,N/A
Edison Int'l_2017,N/A,100.0 tonnes CO₂,N/A,44.0 MWh,N/A,N/A
Societe Generale,N/A,139000.0 tonnes CO,N/A,68.0 MWh,N/A,N/A
Edwards Lifesciences,2015,31608.0 tonnes CO₂,357888000.0 cubic meters,N/A,N/A,40.0 percent
Edwards Lifesciences,2016,46556.0 tonnes CO₂,432549000.0 cubic meters,85000.0 MWh,N/A,80.0 percent
Edwards Lifesciences,2017,38583.0 tonnes CO₂,518124.0 cubic meters,85000.0 MWh,N/A,30.0 percent
Edwards,2018,47.71 tonnes CO₂,507160.0 cubic meters,13.0 MWh,N/A,N/A
Edwards Lifesciences,2022,40474.0 tonnes CO₂,683487.0 cubic meters,2500000.0 MWh,N/A,42.0 percent
EA,2022,N/A,232800.0 cubic meters,13.0 MWh,N/A,N/A
Emerson,2022,163202.0 tonnes CO₂,3874.0 cubic meters,30.0 MWh,N/A,77.0 percent
Emerson,2021,112326.0 tonnes CO₂,3567.0 cubic meters,4.0 MWh,N/A,N/A
Emerson,N/A,252000.0 tonnes CO₂,4169.0 cubic meters,49.0 MWh,N/A,N/A
Emerson,2018,N/A,164.67 cubic meters,N/A,N/A,N/A
BHP,2017,16300000.0 tonnes CO₂,N/A,N/A,N/A,N/A
ENGIE,2016,133000000.0 tonnes CO₂,N/A,18.3 MWh,N/A,89.3 percent
ENGIE,2017,120.0 tonnes CO₂,N/A,25.0 MWh,N/A,N/A
ENGIE,2018,20.0 tonnes CO₂,N/A,N/A,N/A,N/A
ENGIE,2019,2141479.0 tonnes CO₂,1454663.0 cubic meters,3313.0 GWh,N/A,N/A
Engie_2020,2020,43.0 tonnes CO₂,34030000.0 cubic meters,72.0 MWh,N/A,84.0 percent
Windstream,2021,67.0 tonnes CO₂,8.0 cubic meters,34.4 MWh,N/A,N/A
ENGIE,2022,37.5 tonnes CO₂,96.0 cubic meters,N/A,N/A,84.0 percent
Entain plc,N/A,30409.0 tonnes CO,117807.0 cubic meters,67.0 MWh,N/A,59.9 percent
Entain plc,N/A,31317.0 tonnes CO,117807.0 cubic meters,69.6 MWh,N/A,N/A
Entergy,2022,N/A,N/A,1.0 MWh,N/A,26000000.0 percent
Equifax,2023,14914.0 tonnes CO₂,N/A,N/A,N/A,N/A
Equifax,N/A,N/A,N/A,N/A,N/A,N/A
Equinix,2020,55100.0 tonnes CO₂,N/A,5840.0 GWh,N/A,N/A
Equinix,2023,N/A,N/A,96.0 MWh,N/A,N/A
Whole Building Conservation,2016,N/A,N/A,230.0 MWh,N/A,N/A
Whole Building Conservation,2017,N/A,N/A,230.0 MWh,N/A,N/A
Equity Residential,2018,77206.0 tonnes CO₂,12624836.0 cubic meters,2.0 MWh,N/A,15.97 percent
Equity Residential,2019,81089.0 tonnes CO₂,12383582.0 cubic meters,12.0 GWh,N/A,13.8 percent
Equity Residential,2020,N/A,N/A,3.0 MWh,N/A,N/A
Equity Residential,2021,116821.0 tonnes CO₂,12182778.0 cubic meters,N/A,N/A,16.4 percent
Equity Residential,2022,264413.0 tonnes CO₂,N/A,1.0 MWh,N/A,18.1 percent
Williams,2019,N/A,0.06 cubic meters,N/A,N/A,23.0 tonnes CO₂
Essex Property Trust,2023,43363.0 tonnes CO₂,2980853.0 cubic meters,11620.0 MWh,N/A,40.97 percent
EssilorLuxottica,2019,780018.0 tonnes CO,N/A,5.5 GWh,N/A,N/A
EssilorLuxottica,2021,772593.0 tonnes CO,N/A,70.0 MWh,N/A,N/A
The Esteé Lauder Companies,2014,154200.0 tonnes CO₂,539639.0 cubic meters,N/A,N/A,82.0 percent
Beiersdorf,2019,N/A,N/A,100.0 MWh,N/A,N/A
Eurofins Lancaster Laboratories,2020,500000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Eurofins,2021,525000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Eurofins,2022,480000.0 tonnes CO₂,1500000.0 cubic meters,20.0 MWh,N/A,N/A
Everest,2019,N/A,N/A,N/A,N/A,100.0 percent
Everest Re Group,2021,N/A,N/A,N/A,N/A,N/A
Cheniere Energy,2019,6740560.0 tonnes CO₂,N/A,N/A,N/A,N/A
WEC Energy Group,2020,N/A,10000000.0 cubic meters,1.3 MWh,N/A,N/A
Evergy,2023,22961093.0 tonnes CO₂,42.0 cubic meters,30.0 MWh,N/A,N/A
Eversource,2014,1400000.0 tonnes CO₂,N/A,70.5 MWh,N/A,N/A
Eversource,2015,820000.0 tonnes CO₂,N/A,600.0 MWh,N/A,N/A
Eversource,N/A,8375.0 tonnes CO₂,N/A,51.0 MWh,N/A,N/A
Aquarion Water Company,N/A,N/A,N/A,22.5 MWh,N/A,N/A
Eversource,N/A,309.0 tonnes CO₂,0.08 cubic meters,70.0 MWh,N/A,32.0 percent
Eversource,2019,36000.0 tonnes CO₂,N/A,70.0 MWh,N/A,29.0 percent
Eversource,2020,N/A,N/A,N/A,N/A,N/A
Eversource,2021,N/A,N/A,52415197.0 MWh,N/A,N/A
Eversource Energy,2022,N/A,100076.49 cubic meters,61638.0 MWh,N/A,N/A
Exelon,2013,25000000.0 tonnes CO₂,129461022.0 cubic meters,N/A,N/A,53.0 percent
Exelon,2014,1100000.0 tonnes CO₂,143467039.0 cubic meters,N/A,N/A,70.0 percent
Exelon,2015,86000000.0 tonnes CO₂,50.88 cubic meters,250000.0 MWh,N/A,74.0 percent
Exelon,2016,17130.0 tonnes CO₂,50049.74 cubic meters,N/A,N/A,65.3 percent
Exelon,2017,17409000.0 tonnes CO₂,59936.96 cubic meters,N/A,N/A,60.5 percent
Exelon,2018,16082000.0 tonnes CO₂,71870.03 cubic meters,N/A,N/A,74.5 percent
Exelon,2019,15497000.0 tonnes CO₂,59948.82 cubic meters,N/A,N/A,N/A
Exelon,2020,13720000.0 tonnes CO₂,52860.05 cubic meters,N/A,N/A,90.0 percent
Exelon Corporation,2021,5749000.0 tonnes CO₂,0.43 cubic meters,N/A,N/A,88.0 percent
Exelon,2022,5715000.0 tonnes CO₂,0.3 cubic meters,N/A,N/A,90.4 percent
Expedia Group,2023,3451.0 tonnes CO₂,N/A,84.0 MWh,N/A,N/A
Expedia Group,2021,39898.0 tonnes CO₂,N/A,100.0 MWh,N/A,N/A
Expeditors,2020,54452.33 tonnes CO₂,214249.26 cubic meters,N/A,N/A,N/A
Expeditors,2022,9742.91 tonnes CO₂,N/A,N/A,N/A,N/A
Expeditors,2021,7056.28 tonnes CO₂,52924.64 cubic meters,N/A,N/A,N/A
Experian,2007,62000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Experian,2008,50.0 tonnes CO₂,N/A,22.0 MWh,N/A,N/A
Experian,N/A,76000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Experian,2010,78000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Experian,2011,79000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Experian,2012,82800.0 tonnes CO₂,N/A,N/A,N/A,N/A
Experian,2013,2654.0 tonnes CO₂,N/A,N/A,N/A,63.0 percent
Experian,N/A,50000.0 tonnes CO₂,N/A,N/A,N/A,N/A
N/A,2016,54503.0 tonnes CO₂,N/A,N/A,N/A,N/A
Experian,2017,54190.0 tonnes CO₂,N/A,26.0 MWh,N/A,N/A
Experian,2018,51000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Experian,2019,47700.0 tonnes CO₂,N/A,26.0 MWh,N/A,N/A
Experian,2020,43700.0 tonnes CO₂,N/A,29.0 MWh,N/A,N/A
Experian,2021,24.7 tonnes CO₂,N/A,N/A,N/A,N/A
Amazon,2023,80.8 tonnes CO₂,700000.0 cubic meters,28.0 MWh,N/A,82.0 percent
ExxonMobil,2010,132000000.0 tonnes CO₂,2140000000.0 cubic meters,N/A,N/A,N/A
ExxonMobil Corporation,2011,129000000.0 tonnes CO₂,2342000000.0 cubic meters,N/A,N/A,50.0 percent
ExxonMobil,2012,125.0 tonnes CO₂,2083.0 cubic meters,N/A,N/A,N/A
ExxonMobil,2013,126.0 tonnes CO₂,280.0 cubic meters,N/A,N/A,N/A
ExxonMobil,2014,N/A,N/A,N/A,N/A,N/A
ExxonMobil,2015,122000000.0 tonnes CO₂,300000000.0 cubic meters,N/A,N/A,N/A
ExxonMobil,2016,125000000.0 tonnes CO₂,290000000.0 cubic meters,N/A,N/A,N/A
