Company Name,Report Year,Annual Carbon Emissions (tonnes CO₂),Annual Water Consumption (cubic meters),Renewable Energy Usage (MWh),Sustainable Materials Usage Ratio (percent),Waste Recycling Rate (percent)
Agilent Technologies Inc,2022,49000.0,431000.0,27.0,,94.0
Intel Corp.,2016,1630000.0,35582854.0,4.3,,82.0
Apple Inc.,2018,2600000.0,3785410.0,100.0,100.0,71.0
Airtel Africa,2022,,,,,39.0
AstraZeneca,2021,,,100.0,,
Airbus,2014,400000.0,1800000.0,52000.0,,50.0
Apple Inc.,2023,,,38.0,22.0,74.0
Walgreens Boots Alliance,2015,4000.0,,,100.0,
Walgreens Boots Alliance,2019,2100000.0,,7.0,60.0,1.0
Walgreens Boots Alliance,2020,1971000.0,,7.0,98.0,99.0
Alliant Energy Corp,2024,,,1.0,,17.0
Best Buy Co. Inc.,2016,572300.0,4800000.0,1.7,86.0,95.0
General Electric,2022,264094236.0,,57.0,,
Atmos Energy Corp,2023,13631273.0,28262000.0,,,65.0
Siemens Energy AG,2016,144.0,5017816.0,63.0,50.0,70.0
Siemens Energy AG,2017,141.0,5073220.0,2.0,50.0,75.0
Alphabet Inc Class A,2023,,,100.0,,
Affiliated Managers Group Inc,2014,130.0,,50.0,,95.0
Alphabet Inc Class A,2017,,,,,
Altria Group Inc,2010,,,,,
Altria Group Inc,2011,,,,,
Altria Group Inc,2012,,,,,
Affiliated Managers Group Inc,2013,,4921033.0,,,
Altria Group Inc,2014,438776.0,6435197.0,,,91.1
Altria Group Inc,2015,192293.0,,,,
Altria Group Inc,2016,391809.0,2489000000.0,,,79.4
Altria Group Inc,2017,355305.0,2192000000.0,,,69.4
Altria Group Inc,2019,,,2.1,,
Altria Group Inc,2021,,,,,
FMC Corporation,2007,30600000.0,,,,53.0
FMC Corporation,2008,29000000.0,,,,
American Airlines Group,2009,,,,,
American Airlines Group,2010,1200000.0,,,,
American Airlines Group,2013,42300000.0,,,,
American Airlines Group,2014,35142.0,,,,
American Airlines Group,2015,5000.0,,14000000.0,,100.0
American Airlines Group,2017,34451.0,,100.0,,
American Airlines Group,2018,36037000.0,,100.0,,
American Airlines Group,2020,117800.0,,240000.0,,
American Airlines Group,2021,19000000.0,,1350000.0,,
American Airlines Group,2022,22500000.0,1817440.26,1700000.0,,
American International Group,2023,33723.0,,11.0,,
Walgreens Boots Alliance,2018,2129000.0,,17000.0,,100.0
AmerisourceBergen Corp,2021,214595.0,1307831.0,19.0,,80.0
AmerisourceBergen Corp,2022,23627236.0,,,,74.3
Apple Inc.,2019,,4921033.0,100.0,40.0,100.0
Anglo American plc,2010,20000000.0,114500000.0,14.0,,15.0
Anglo American plc,2011,18800000.0,131600000.0,11.3,50.0,66.0
Anglo American plc,2012,3300000.0,139200000.0,29.0,,40.0
Anglo American plc,2013,17000000.0,201000000.0,166.0,,67.0
Anglo American plc,2014,4200000.0,36000000.0,2430000.0,,69.0
Anglo American plc,2015,18000000.0,221700000.0,3.0,,
Anglo American plc,2016,17800000.0,191000000.0,3.0,,85.0
Anglo American plc,2017,,306300000.0,3.2,,88.0
Anglo American plc,2018,30500.0,227497000.0,12.0,,
Anglo American plc,2019,17700000.0,209155000.0,2000000.0,,80.0
Anglo American plc,2020,,209000000.0,2160000.0,,80.0
Anglo American plc,2021,14800000.0,177000000.0,56.0,,59.0
Anglo American plc,2022,13300000.0,35910.0,100.0,,58.0
Coca-Cola Company,2022,,291000000000.0,21.0,15.0,61.0
Intel Corp.,2014,2080000.0,31797444.0,3100000000.0,,86.0
CBRE Group,2015,,1097000.0,62.0,,
Apple Inc.,2014,33800000.0,2317181.0,527698368.0,98.0,
Apple Inc.,2015,34200000.0,1839812.0,100.0,67.0,
Apple Inc.,2016,383470.0,2000000.0,93.0,60.0,63.0
Apple Inc.,2021,22600000.0,4883178.9,100.0,40.0,90.0
Apple Inc.,2022,180000.0,5299574.0,100.0,20.0,68.0
ArcelorMittal,2012,,,330000.0,60.0,
ArcelorMittal,2013,,,,,23.0
ArcelorMittal,2014,,,,,
ArcelorMittal,2018,203.0,,8600.0,33.0,2.9
ArcelorMittal,2019,196100000.0,,300000.0,70.0,
ArcelorMittal,2020,160300000.0,,33.0,31.0,85.0
ArcelorMittal,2021,146.7,,250.0,,83.0
ArcelorMittal,2022,117800000.0,,250.0,,
Ashtead Group,2017,,,,,85.0
Chevron Corp.,2016,66000000.0,,,100.0,
BANCO DE SABADELL SA,2020,,,,,
BANCO DE SABADELL SA,2022,8103.0,265892.0,592394.0,100.0,79.0
The Bank of New York Mellon Corp.,2021,35132.6,73578.0,100.0,85.0,100.0
Accenture plc,2022,,107719.0,90000.0,,99.8
Federal Realty Investment Trust,2020,,,,,
Federal Realty Investment Trust,2022,,,,,
Federal Realty Investment Trust,2023,,,,,
BP,2013,49200000.0,,1558.0,,
BP,2018,,3700000.0,892000.0,,97.0
BP,2020,55000000.0,275600000.0,1232000.0,,
BP,2021,,55800000.0,4.4,,
Cisco Systems,2017,11493.0,2223000.0,77.0,30.0,
Alexandria Real Estate Equities,2020,,1806857.55,251700.0,,38.5
Biogen Inc.,2015,433249.0,839769.0,100.0,,61.0
Hilton Worldwide Holdings Inc,2019,476036.0,149412.0,1.4,,35.0
Boston Properties,2020,7494.0,6697.0,,,97.0
Bouygues,2014,,3100000.0,,,80.0
Bouygues,2015,,,2500.0,10.0,69.0
Bouygues,2017,,734000.0,,12.0,63.0
Bouygues,2019,100.0,1000000.0,7900000.0,9.8,48.0
Bristol-Myers Squibb,2020,320000.0,2450000000.0,100.0,,100.0
Philip Morris International,2018,,4400000.0,65.0,95.0,84.0
Broadcom,2021,,2082994.64,,,43.0
QUALCOMM Inc.,2023,,200000.0,,,50.5
Micron Technology,2017,,16000.0,,,45.0
CaixaBank,2022,400.0,398205.0,100.0,,
Carmax Inc,2019,,,393999.0,,29.0
Carmax Inc,2021,,,43716357.0,,
Carmax Inc,2022,276438541.0,,17.23,,
BB&T Corporation,2015,140000.0,,,62.0,52.0
PVH Corp.,2016,148726.0,201782.0,,29.0,
Caterpillar Inc.,2021,1550000.0,404000000.0,24.2,,34.0
Bristol-Myers Squibb,2021,370521.0,3168250000.0,7.0,,31.65
HP Inc.,2019,215800.0,2630000.0,240398.0,39.0,
Cisco Systems,2015,500000.0,,71.9,30.0,25.0
Chevron Corp.,2004,62500000.0,,500.0,,64.0
Chevron Corp.,2005,59700000.0,,1152.0,100.0,
Chevron Corp.,2007,60700000.0,,1273.0,,
Chevron Corp.,2008,59600000.0,45000.0,1273.0,,
Chevron Corp.,2009,3700.0,,1273.0,,67.0
Chevron Corp.,2010,59200000.0,,,,59.0
Chevron Corp.,2011,59800000.0,1000000.0,1250.0,100.0,
Chevron Corp.,2012,3500000.0,,,,41.4
Chevron Corp.,2013,,,,100.0,30.0
Chevron Corp.,2014,56000000.0,,,,70.0
Chevron Corp.,2015,57000000.0,78000000.0,,,75.0
Chevron Corp.,2017,63000000.0,,,100.0,25.0
Chevron Corp.,2018,66000000.0,,,100.0,33.0
Chevron Corp.,2019,4000000.0,,29.0,,
Chevron Corp.,2020,54000000.0,0.0,,29.0,
Chevron Corp.,2021,,6397342.9,100.0,25.0,
Chevron Corp.,2022,20000.0,63000000.0,,,
Chipotle Mexican Grill,2016,,,15781211.0,100.0,37.0
Kroger Co.,2017,,,10600000.0,60.0,95.0
Cisco Systems,2018,,3394.0,40.0,35.0,
Citigroup Inc.,2018,,,,,
3M Company,2012,72.0,,,,
3M Company,2013,,,,,
3M Company,2015,61700.0,,800000.0,,
Cimarex Energy,2019,,,,,
Citigroup Inc.,2019,,4336083.0,1310600.0,,
Citigroup Inc.,2020,,3782392.0,,,22.8
Citigroup Inc.,2021,,3619630.0,,,22.76
Citigroup Inc.,2022,,946.35,,,
Coca-Cola Company,2016,,,,30.0,59.3
Coca-Cola HBC,2017,19.0,,,,
Coca-Cola Company,2020,,1.84,,11.5,60.0
Coca-Cola Company,2021,5490000.0,1.81,12.0,23.0,61.0
Coca-Cola HBC,2023,5620000.0,,24.0,,
Colgate-Palmolive,2013,,1.6,,50.0,
Colgate-Palmolive,2022,,,,,
NRG Energy,2015,90.0,11000000000.0,,,
BB&T Corporation,2017,90000.0,0.01,,,
Amazon.com Inc.,2023,80.8,,100.0,,82.0
ConocoPhillips,2022,16014000.0,9200000.0,,,
Wec Energy Group Inc,2018,220000.0,,100.0,,
Consolidated Edison,2021,39900000.0,,53.3,,
Constellation Brands,2019,303842.0,,5500000.0,,99.0
Affiliated Managers Group Inc,2020,3202.0,,,,99.0
Constellation Brands,2022,,0.16,,,100.0
Corning Inc.,2021,,15693406.0,,,
Corning Inc.,2022,,,190000.0,,
DCC plc,2021,450.0,,100.0,,
DCC plc,2022,84000.0,,80.0,,
DS Smith,2020,,,,,96.0
DS Smith,2021,,,,,100.0
DS Smith,2022,8250702.0,8080000.0,21.0,100.0,63.0
DS Smith,2023,7391418.0,,26.0,,
DTE Energy Co.,2013,,0.0,,,
DTE Energy Co.,2019,,,1000000.0,,
DTE Energy Co.,2020,4700000.0,21.0,,,
DTE Energy Co.,2021,,,,,
DXC Technology,2018,,2735249.0,,,
DXC Technology,2019,,,,,
Henry Schein,2017,6300.0,,,,
JM Smucker,2014,1580652.0,3785410.0,,,11.5
Danaher Corp.,2022,372468.0,6818699.0,,,69.9
Danaher Corp.,2023,,120000.0,,,
Darden Restaurants,2012,568.0,1.89,15.0,100.0,
Darden Restaurants,2024,4282662.0,4826875.0,0.03,,17.0
Dechra Pharmaceuticals,2016,8075.0,,,,
Dechra Pharmaceuticals,2021,55318974.0,,27.8,,31.0
Dechra Pharmaceuticals,2023,,178645.0,,,
Delta Air Lines Inc.,2016,90000.0,,,,
Delta Air Lines Inc.,2017,40175582.0,,,,
Delta Air Lines Inc.,2018,40.0,0.06,,,
Delta Air Lines Inc.,2019,,,,,
Delta Air Lines Inc.,2020,38161782.15,,,,
Dentsply Sirona,2021,37950.0,258177.0,,,
Dentsply Sirona,2023,22960.0,235930.0,13.0,55.0,
Devon Energy,2021,4230000.0,98500000.0,,,
Diageo,2020,710986.0,16514966.0,65.5,,
Diageo,2021,691999.0,16790280.0,,,97.5
Diageo,2022,,623145.9,,,
Diamondback Energy,2021,1.0,,,,
Digital Realty Trust Inc,2018,3799200.0,1427600.0,1904300.0,,24.0
Digital Realty Trust Inc,2019,1777790.0,1533375.0,1966423.0,27.0,26.0
Digital Realty Trust Inc,2020,32798.0,1417689.0,4146675.0,,27.0
Digital Realty Trust Inc,2021,20327.0,1470354.0,5295453.0,,28.0
Digital Realty Trust Inc,2022,1606253.0,1573359.0,100.0,,
Visa Inc.,2016,,284703.37,,,76.0
NRG Energy,2018,46000000.0,185000000.0,,,
Baxter International Inc.,2019,619000.0,14471000.0,2811.0,,75.0
Baxter International Inc.,2021,598000.0,14708000.0,846000.0,,
Nvidia Corporation,2018,,55681.0,52029.0,,74.0
BB&T Corporation,2020,,,,,79.0
Procter & Gamble,2014,5353.0,70610.0,,,87.0
BANCO DE SABADELL SA,2015,185759.71,8751942.97,40.0,,
Colgate-Palmolive,2016,531000.0,1.04,,41.0,40.0
Visa Inc.,2017,120953.0,247459.69,,,77.0
Dollar General,2022,1916849.0,,,,
Dollar Tree,2021,7.75,,,,
Dollar Tree,2024,,,79000.0,,72.0
Dollar Tree,2023,,,,,
Dominion Energy,2017,,79493.61,1350.0,,
Dominion Energy,2018,101143310.0,6885000000000.0,,,
Dominion Energy,2019,,,,,
Dominion Energy,2020,5.3,,,,
Dominion Energy,2021,,42110000000.0,,,41.0
Bank of America Corp,2023,,,,,90.0
Affiliated Managers Group Inc,2015,1267485.0,4819684.0,,,98.8
Dow Inc.,2019,42.1,,,,
Dow Inc.,2020,34700000.0,,,,
Dow Inc.,2021,28290000.0,,900.0,,
Dow Inc.,2022,27290000.0,,1000.0,,
Dow Inc.,2023,26480000.0,3543.14,1000.0,,
Apartment Investment & Management,2019,43100000.0,,,,
Duke Energy,2023,,,,,80.0
Morgan Stanley,2020,30.0,,,,
Phoenix Group,2018,,,,,
Phoenix Group,2020,37760000.0,,307.0,,
Phoenix Group,2021,456000000.0,,1188.0,,
EOG Resources,2017,,0.01,,,
EOG Resources,2018,,37.0,,,
EOG Resources,2019,,25.0,,,
EOG Resources,2020,4500000.0,20.0,,,
EOG Resources,2021,5000000.0,196.0,,,55.0
Eastman Chemical,2013,6055992.0,650000000.0,90.0,,
Eastman Chemical,2022,6206603.0,,,,75.0
Eaton Corporation,2018,1099044.0,,9000000.0,,87.0
Eaton Corporation,2019,,,12.0,,92.0
Eaton Corporation,2020,1200000.0,5000.0,,,90.0
Eaton Corporation,2021,,278.0,,,94.0
Eaton Corporation,2022,215653.0,2935.0,842791.0,,95.0
Ecolab Inc.,2005,,,,,
Ecolab Inc.,2006,,1135.62,,,
Ecolab Inc.,2007,200000.0,355000000.0,,42.0,
Ecolab Inc.,2008,200000.0,,,,
Ecolab Inc.,2009,200000.0,1634068.0,,,
Ecolab Inc.,2010,25000.0,,,,18.0
Ecolab Inc.,2011,,,,,19.8
Associated British Foods,2012,,731000000.0,17000000.0,,
Ecolab Inc.,2013,,,,,
Ecolab Inc.,2014,,800.0,,,80.0
Ecolab Inc.,2015,3.6,6.9,,,
Dow Inc.,2016,47.3,1.17,40.0,,
Ecolab Inc.,2017,21500.0,37854100.0,,,
The Bank of New York Mellon Corp.,2018,2400000000.0,711657080.0,99.4,,
Ecolab Inc.,2020,340004.0,6571352.0,100.0,,
Ecolab Inc.,2021,8733980.0,0.1,,,
Ecolab Inc.,2022,299519.0,,,,
Edenred,2017,,,,,
Edenred,2018,,61606.0,2799.0,,
Edenred,2019,,60056.0,,,
Edenred,2021,,,560.0,,
Edwards Lifesciences,2015,31608.0,357888000.0,,,40.0
Edwards Lifesciences,2016,46556.0,432549000.0,85000.0,,80.0
Edwards Lifesciences,2017,38583.0,518124.0,85000.0,,30.0
Edwards Lifesciences,2018,47.71,507160.0,13.0,,
Edwards Lifesciences,2022,40474.0,683487.0,2500000.0,,42.0
CVS Health,2022,,232800.0,13.0,,
Emerson Electric Company,2022,163202.0,3874.0,30.0,,77.0
Emerson Electric Company,2021,112326.0,3567.0,4.0,,
Emerson Electric Company,2018,,164.67,,,
BP,2017,16300000.0,,,,
Engie,2016,133000000.0,,18.3,,89.3
Engie,2017,120.0,,25.0,,
Engie,2018,20.0,,,,
Engie,2019,2141479.0,1454663.0,3313000.0,,
Engie,2020,43.0,34030000.0,72.0,,84.0
Engie,2022,37.5,96.0,,,84.0
Entergy Corp.,2022,,,1.0,,
Equifax Inc.,2023,14914.0,,,,
Equinix,2020,55100.0,,5840000.0,,
Equinix,2023,,,96.0,,
Equity Residential,2018,77206.0,12624836.0,2.0,,15.97
Equity Residential,2019,81089.0,12383582.0,12000.0,,13.8
Equity Residential,2020,,,3.0,,
Equity Residential,2021,116821.0,12182778.0,,,16.4
Equity Residential,2022,264413.0,,1.0,,18.1
Sherwin-Williams,2019,,0.06,,,
"Essex Property Trust, Inc.",2023,43363.0,2980853.0,11620.0,,40.97
EssilorLuxottica,2019,,,5500.0,,
EssilorLuxottica,2021,,,70.0,,
Estee Lauder Cos.,2014,154200.0,539639.0,,,82.0
Abbott Laboratories,2020,500000.0,,,,
Eurofins Scientific,2021,525000.0,,,,
Eurofins Scientific,2022,480000.0,1500000.0,20.0,,
Everest Re Group Ltd.,2019,,,,,100.0
Everest Re Group Ltd.,2021,,,,,
CMS Energy,2019,6740560.0,,,,
Wec Energy Group Inc,2020,,10000000.0,1.3,,
Evergy,2023,22961093.0,42.0,30.0,,
Eversource Energy,2014,1400000.0,,70.5,,
Eversource Energy,2015,820000.0,,600.0,,
Eversource Energy,2019,36000.0,,70.0,,29.0
Eversource Energy,2020,,,,,
Eversource Energy,2021,,,52415197.0,,
Eversource Energy,2022,,100076.49,61638.0,,
Exelon Corp.,2013,25000000.0,129461022.0,,,53.0
Exelon Corp.,2014,1100000.0,143467039.0,,,70.0
Exelon Corp.,2015,86000000.0,50.88,250000.0,,74.0
Exelon Corp.,2016,17130.0,50049.74,,,65.3
Exelon Corp.,2017,17409000.0,59936.96,,,60.5
Exelon Corp.,2018,16082000.0,71870.03,,,74.5
Exelon Corp.,2019,15497000.0,59948.82,,,
Exelon Corp.,2020,13720000.0,52860.05,,,90.0
Exelon Corp.,2021,5749000.0,0.43,,,88.0
Exelon Corp.,2022,5715000.0,0.3,,,90.4
Expedia Group,2023,3451.0,,84.0,,
Expedia Group,2021,39898.0,,100.0,,
Expeditors,2020,54452.33,214249.26,,,
Expeditors,2022,9742.91,,,,
Expeditors,2021,7056.28,52924.64,,,
Experian,2007,62000.0,,,,
Experian,2008,50.0,,22.0,,
Experian,2010,78000.0,,,,
Experian,2011,79000.0,,,,
Experian,2012,82800.0,,,,
Experian,2013,2654.0,,,,63.0
Experian,2017,54190.0,,26.0,,
Experian,2018,51000.0,,,,
Experian,2019,47700.0,,26.0,,
Experian,2020,43700.0,,29.0,,
Experian,2021,24.7,,,,
Exxon Mobil Corp.,2010,132000000.0,2140000000.0,,,
FMC Corporation,2011,129000000.0,2342000000.0,,,50.0
Exxon Mobil Corp.,2012,125.0,2083.0,,,
Exxon Mobil Corp.,2013,126.0,280.0,,,
Exxon Mobil Corp.,2014,,,,,
Exxon Mobil Corp.,2015,122000000.0,300000000.0,,,
Exxon Mobil Corp.,2016,125000000.0,290000000.0,,,
Exxon Mobil Corp.,2017,6600000.0,300000000.0,,,
Exxon Mobil Corp.,2018,,,500.0,,90.0
FERRARI NV,2018,,,,,44.8
Affiliated Managers Group Inc,2019,,,,,
FERRARI NV,2020,,701.4,,,
Affiliated Managers Group Inc,2021,,,142.0,,
Affiliated Managers Group Inc,2022,,,29.0,,
FIRST QUANTUM MINERALS LTD,2021,411191.0,,,,
FMC Corporation,2012,2.0,30283280.0,,,
FMC Corporation,2013,,,,,30.0
FMC Corporation,2014,1150000.0,6400000.0,,,
FMC Corporation,2015,400.0,45000000.0,,67.0,
FMC Corporation,2016,600.0,4000000.0,,,38.0
FMC Corporation,2017,700.0,4000000000.0,,82.0,
FMC Corporation,2018,,,,,
FMC Corporation,2019,350.0,340000.0,,,
FMC Corporation,2020,151.95,1517000.0,4.65,,
FMC Corporation,2021,2727.76,1450000.0,32.64,,35.04
FMC Corporation,2022,3.0,2500.0,,,58.0
"Facebook, Inc.",2019,364000.0,3.43,86.0,,90.0
"Facebook, Inc.",2020,2020.0,1609000.0,7100000000.0,,90.0
Fastenal Co,2022,,,,,
FedEx Corporation,2008,39.5,,25000.0,75.0,
FedEx Corporation,2009,14101552.0,,5.0,,
Air Products & Chemicals Inc,2010,3.9,,,,
FedEx Corporation,2011,,,,,36.0
FedEx Corporation,2012,16645894.0,,20000.0,,
FedEx Corporation,2014,122517.0,0.01,,,
FedEx Corporation,2018,2300000.0,,,,
FedEx Corporation,2019,92.0,,,,
FedEx Corporation,2020,19501454.0,,,,
FedEx Corporation,2021,19414171.0,,,,
FedEx Corporation,2022,21448385.0,,,,
Federal Realty Investment Trust,2021,20162.0,253761.0,8.0,,32.0
Fiserv Inc,2019,110198.74,407.5,,,
Fiserv Inc,2021,,,3.0,,
Fiserv Inc,2022,,255100.0,11273.98,,
Fiserv Inc,2023,,,,,
Fifth Third Bancorp,2015,100338.0,,,,
Fifth Third Bancorp,2017,,10.0,100.0,,
Fifth Third Bancorp,2018,,,30.0,,
Fifth Third Bancorp,2020,0.0,516.8,100.0,,
Fifth Third Bancorp,2021,0.0,,100.0,30.0,
Fifth Third Bancorp,2022,386330.0,0.38,190000.0,,
Sempra Energy,2013,7800000.0,120754579.0,23.6,,
Thermo Fisher Scientific,2017,,,2645.0,,24.0
FirstEnergy Corp,2021,18100000.0,340686900.0,,,
FirstEnergy Corp,2023,18100000.0,,,,
FirstEnergy Corp,2022,,,,,
Fortune Brands Home & Security,2022,,,,,
Fluor Corp.,2008,2006.0,2184.18,7500000.0,,
Fluor Corp.,2009,,37.0,,,
Fluor Corp.,2010,95.0,,,,
Fluor Corp.,2011,,0.03,,,
Fluor Corp.,2012,,,,,
Fluor Corp.,2013,,225000.0,,,
Fluor Corp.,2014,,,,,
Fluor Corp.,2015,,,,,
Fluor Corp.,2016,100000.0,2693.32,12000000.0,,
Fluor Corp.,2017,87300.0,,,,
Fluor Corp.,2018,14370.0,2.19,,,
Fluor Corp.,2019,92950.0,1150.01,,,
Fluor Corp.,2021,50000.0,,,,
Fluor Corp.,2022,,,10.0,,
Flutter Entertainment,2023,,,100.0,,
Foot Locker Inc,2021,,,45200.0,,
Ford Motor,2020,3740000.0,41639510.0,,,
Ford Motor,2021,2.96,15600000.0,,,
Ford Motor,2022,,,,,
Ford Motor,2023,303.0,15100000.0,42.6,,91.0
Affiliated Managers Group Inc,2023,,,405276.0,,
Fortinet,2021,,2021.0,100.0,,
Fortinet,2022,,,,,
Fortinet,2023,2030699.0,,100.0,,
Fortive Corp,2022,,,,,
Fortive Corp,2020,28.6,,,,
PVH Corp.,2014,0.65,,,100.0,
Conagra Brands,2023,120634.0,0.67,1400000.0,,49.4
Frasers Group,2024,451.3,,,,
Snap-on,2014,49.0,,30.0,,
Freeport-McMoRan Inc.,2016,5500000.0,1738000000.0,63.0,,81.0
Freeport-McMoRan Inc.,2017,,1560000000.0,,,82.0
Apache Corporation,2018,4900000.0,1540000000.0,30.0,,81.0
Fresnillo plc,2022,18658.0,,56.0,,
Newmont Mining Corporation,2020,98974.0,231.67,,,
CF Industries Holdings Inc,2023,,24227.28,,,
GSK plc,2013,1833000.0,15700000.0,,,94.0
GSK plc,2017,19500000.0,,,,70.0
GSK plc,2019,16335000.0,12370000.0,,,
GSK plc,2020,14620000.0,12470000.0,,,
GSK plc,2021,13456.0,10.17,,,
Gap Inc.,2004,,,,,
Gap Inc.,2017,,,3.0,35.0,47.0
Gap Inc.,2018,,,,,
Gap Inc.,2020,240724.0,,17.0,,
Gap Inc.,2021,,25898640.0,17.0,79.0,
Gartner Inc,2021,,,,,
General Dynamics,2021,,0.04,7.5,,29.0
Adobe Systems Inc,2022,,0.04,,,65.2
American Water Works Company Inc,2023,678187.0,,,,
Amgen Inc.,2021,1810000.0,18662071.3,63100.0,,
TransDigm Group,2016,77.0,0.07,,,
General Motors,2017,1848804.0,37493216.0,,,44.0
General Motors,2018,1763555.0,10738.0,703475.0,,
General Motors,2019,1589700.0,31254916.0,1636792.0,,94.0
General Motors,2020,1214124.0,25554164.0,1398047.0,,
Garmin Ltd.,2016,,,,90.0,
TransDigm Group,2021,,25304.0,146832.0,35.0,1.2
General Motors,2022,3500000.0,27325.0,1977727.0,,
Genuine Parts,2022,374826.0,,,,
Gilead Sciences,2016,975.0,303689.56,,,66.0
Gilead Sciences,2017,1728.0,167102.86,50.0,,68.0
Gilead Sciences,2019,2700.0,444.0,1.91,,
Gilead Sciences,2020,42546.0,613.3,89708.0,,
Gilead Sciences,2021,0.08,,461232.0,,95.0
Gilead Sciences,2022,,2555.0,30700.0,,
Glencore,2014,36567000.0,958000000.0,78.0,,
Glencore,2016,35600000.0,970000000.0,19.0,,
Glencore,2021,15000000.0,999000000.0,237000.0,,
Glencore,2022,16610000.0,1078000000.0,,,
Glencore,2018,18500000.0,1075000000.0,,,
Global Payments Inc.,2021,,0.11,,,69.0
Goldman Sachs Group,2019,7000.0,,1.0,,
Grainger (W.W.) Inc.,2021,90255.0,409797.0,6000000.0,,89.0
AbbVie Inc.,2024,86000.0,538000.0,10.0,40.0,78.0
Grainger (W.W.) Inc.,2022,86682.0,386059.0,6700000.0,,91.8
HCA Holdings,2016,,12.49,,,
GSK plc,2023,2.1,,,,
Abbott Laboratories,2023,,2360.0,260000000.0,,
Intel Corp.,2015,2000000.0,34068690.0,3400000000.0,,82.0
HP Inc.,2020,44890100.0,2327000.0,243661.0,,85.2
HSBC,2016,2.97,,9.0,95.0,
Reckitt,2023,,,,,94.0
ConocoPhillips,2018,20300000.0,18300000.0,,,
CMS Energy,2020,,,,,
Morgan Stanley,2015,,,,,58.0
Walmart,2018,42.5,,2900000000.0,,78.0
Hanesbrands Inc,2019,,,,,
Hanesbrands Inc,2013,324929.0,,,,
Harley-Davidson,2022,,,,,
CIGNA Corp.,2016,232.0,,,,
CIGNA Corp.,2018,,,,,100.0
Hasbro Inc.,2010,,,,,80.0
Hasbro Inc.,2011,27007.0,0.06,,,80.0
Hasbro Inc.,2013,,,,,82.0
Hasbro Inc.,2015,,,100.0,90.0,50.0
Hasbro Inc.,2016,,,25699.0,90.0,50.0
Hasbro Inc.,2019,12864.0,,99.7,,
Cabot Oil & Gas,2020,12738.0,,26828.0,,
